BEGIN-TRAINING
World-Size,2
Num-DLWorkers,10
Batch-Size,256
Epoch,itr,BT(s),avg:BT(s),std:BT(s),NT(s),avg:NT(s),std:NT(s),DT(s),avg:DT(s),std:DT(s),Loss,avg:Loss,Prec@1,avg:Prec@1,Prec@5,avg:Prec@5,val
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9228,6.9228,0.000,0.000,0.000,0.000,-1
0,100,3.039,3.013,0.061,3.021,2.995,0.061,0.018,0.018,0.001,4.9224,5.3965,3.516,3.152,17.188,10.365,-1
0,195,23.882,3.127,1.531,23.864,3.108,1.531,0.018,0.019,0.004,4.6822,5.1318,5.000,4.074,15.000,13.070,-1
0,-1,23.882,3.127,1.531,23.864,3.108,1.531,0.018,0.019,0.004,-1,-1,-1,-1,-1,-1,0.15
1,0,23.882,3.127,1.531,23.864,3.108,1.531,0.018,0.019,0.004,4.7725,4.7725,5.469,5.469,19.141,19.141,-1
1,100,3.042,3.089,1.255,3.023,3.070,1.255,0.018,0.018,0.003,4.7709,4.7625,6.250,5.852,17.969,17.779,-1
1,195,2.182,3.068,1.084,2.163,3.049,1.084,0.019,0.018,0.003,5.0525,4.7367,2.500,6.080,15.000,18.232,-1
1,-1,2.182,3.068,1.084,2.163,3.049,1.084,0.019,0.018,0.003,-1,-1,-1,-1,-1,-1,0.51
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9228,6.9228,0.000,0.000,0.000,0.000,-1
0,100,1.494,1.480,0.021,1.475,1.462,0.021,0.018,0.018,0.000,4.9192,5.3986,3.516,3.144,16.016,10.156,-1
0,195,24.936,1.609,1.720,24.917,1.591,1.720,0.018,0.018,0.001,4.6797,5.1320,3.750,4.084,17.500,13.018,-1
0,-1,24.936,1.609,1.720,24.917,1.591,1.720,0.018,0.018,0.001,-1,-1,-1,-1,-1,-1,0.13
1,0,24.936,1.609,1.720,24.917,1.591,1.720,0.018,0.018,0.001,4.7758,4.7758,5.078,5.078,16.797,16.797,-1
