BEGIN-TRAINING
World-Size,2
Num-DLWorkers,10
Batch-Size,256
Epoch,itr,BT(s),avg:BT(s),std:BT(s),NT(s),avg:NT(s),std:NT(s),DT(s),avg:DT(s),std:DT(s),Loss,avg:Loss,Prec@1,avg:Prec@1,Prec@5,avg:Prec@5,val
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9228,6.9228,0.000,0.000,0.000,0.000,-1
0,100,3.157,2.932,0.126,2.046,1.941,0.101,1.111,0.991,0.084,4.7087,4.9975,5.078,4.131,19.922,13.378,-1
0,195,30.423,3.081,2.019,29.307,2.097,2.008,1.115,0.984,0.080,4.4365,4.8446,3.750,5.424,17.500,16.320,-1
0,-1,30.423,3.081,2.019,29.307,2.097,2.008,1.115,0.984,0.080,-1,-1,-1,-1,-1,-1,0.38
1,0,30.423,3.081,2.019,29.307,2.097,2.008,1.115,0.984,0.080,4.6431,4.6431,7.422,7.422,20.312,20.312,-1
1,100,2.920,3.032,1.656,1.993,2.046,1.647,0.927,0.987,0.078,4.6282,4.5470,5.469,7.909,21.094,22.440,-1
1,195,1.901,3.004,1.431,0.876,2.016,1.423,1.025,0.988,0.083,4.8354,4.5019,6.250,8.496,13.750,23.490,-1
1,-1,1.901,3.004,1.431,0.876,2.016,1.423,1.025,0.988,0.083,-1,-1,-1,-1,-1,-1,0.32
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9228,6.9228,0.000,0.000,0.000,0.000,-1
0,100,1.491,1.489,0.088,1.402,1.382,0.063,0.089,0.107,0.073,4.7249,5.0028,5.469,4.107,17.188,13.343,-1
0,195,28.093,1.636,1.952,28.005,1.529,1.953,0.087,0.107,0.068,4.4382,4.8497,5.000,5.458,18.750,16.266,-1
0,-1,28.093,1.636,1.952,28.005,1.529,1.953,0.087,0.107,0.068,-1,-1,-1,-1,-1,-1,0.23
1,0,28.093,1.636,1.952,28.005,1.529,1.953,0.087,0.107,0.068,4.6287,4.6287,6.641,6.641,21.484,21.484,-1
1,100,1.474,1.592,1.602,1.389,1.472,1.602,0.085,0.120,0.090,4.6224,4.5514,5.469,7.936,20.703,22.200,-1
1,195,0.594,1.567,1.384,0.503,1.443,1.384,0.090,0.124,0.095,4.8261,4.5049,5.000,8.468,15.000,23.362,-1
1,-1,0.594,1.567,1.384,0.503,1.443,1.384,0.090,0.124,0.095,-1,-1,-1,-1,-1,-1,0.33
2,0,0.594,1.567,1.384,0.503,1.443,1.384,0.090,0.124,0.095,4.4743,4.4743,8.594,8.594,24.609,24.609,-1
2,100,1.486,1.554,1.242,1.397,1.428,1.241,0.089,0.126,0.097,4.3812,4.3598,10.938,9.974,29.297,26.880,-1
2,195,0.583,1.543,1.133,0.497,1.415,1.132,0.085,0.128,0.099,4.3804,4.3299,10.000,10.354,25.000,27.470,-1
2,-1,0.583,1.543,1.133,0.497,1.415,1.132,0.085,0.128,0.099,-1,-1,-1,-1,-1,-1,0.15
3,0,0.583,1.543,1.133,0.497,1.415,1.132,0.085,0.128,0.099,4.2346,4.2346,11.719,11.719,28.516,28.516,-1
3,100,1.480,1.537,1.052,1.394,1.408,1.050,0.085,0.129,0.100,4.2313,4.1990,10.547,12.473,32.422,30.693,-1
3,195,0.581,1.531,0.984,0.495,1.401,0.982,0.087,0.129,0.100,4.2716,4.1716,11.250,12.892,30.000,31.318,-1
3,-1,0.581,1.531,0.984,0.495,1.401,0.982,0.087,0.129,0.100,-1,-1,-1,-1,-1,-1,4.23
4,0,0.581,1.531,0.984,0.495,1.401,0.982,0.087,0.129,0.100,4.1970,4.1970,15.234,15.234,29.297,29.297,-1
4,100,1.796,1.528,0.930,1.388,1.392,0.928,0.408,0.135,0.106,4.1288,4.0435,13.672,14.310,31.641,34.309,-1
4,195,0.593,1.525,0.883,0.497,1.386,0.881,0.095,0.139,0.110,3.9390,4.0089,21.250,14.874,40.000,35.238,-1
4,-1,0.593,1.525,0.883,0.497,1.386,0.881,0.095,0.139,0.110,-1,-1,-1,-1,-1,-1,0.25
5,0,0.593,1.525,0.883,0.497,1.386,0.881,0.095,0.139,0.110,4.0844,4.0844,13.672,13.672,30.078,30.078,-1
5,100,1.503,1.523,0.843,1.403,1.382,0.841,0.100,0.142,0.112,3.8403,3.8686,15.625,16.955,41.016,39.043,-1
5,195,0.593,1.521,0.808,0.493,1.379,0.805,0.100,0.141,0.112,3.9438,3.8310,12.500,17.224,37.500,39.450,-1
5,-1,0.593,1.521,0.808,0.493,1.379,0.805,0.100,0.141,0.112,-1,-1,-1,-1,-1,-1,1.02
6,0,0.593,1.521,0.808,0.493,1.379,0.805,0.100,0.141,0.112,3.7497,3.7497,19.141,19.141,43.750,43.750,-1
6,100,1.495,1.519,0.777,1.401,1.380,0.775,0.094,0.139,0.109,3.8161,3.7125,17.578,19.005,39.062,42.091,-1
6,195,0.595,1.517,0.749,0.499,1.375,0.747,0.095,0.142,0.112,3.4798,3.6747,22.500,19.628,53.750,42.978,-1
6,-1,0.595,1.517,0.749,0.499,1.375,0.747,0.095,0.142,0.112,-1,-1,-1,-1,-1,-1,1.73
7,0,0.595,1.517,0.749,0.499,1.375,0.747,0.095,0.142,0.112,3.5230,3.5230,22.266,22.266,47.266,47.266,-1
7,100,1.490,1.516,0.724,1.393,1.374,0.722,0.097,0.142,0.113,3.7075,3.5715,20.703,21.488,39.844,45.405,-1
7,195,0.901,1.515,0.701,0.498,1.373,0.700,0.403,0.142,0.112,3.1918,3.5439,26.250,21.858,57.500,46.084,-1
7,-1,0.901,1.515,0.701,0.498,1.373,0.700,0.403,0.142,0.112,-1,-1,-1,-1,-1,-1,0.41
8,0,0.901,1.515,0.701,0.498,1.373,0.700,0.403,0.142,0.112,3.4020,3.4020,19.531,19.531,51.562,51.562,-1
8,100,1.232,1.514,0.681,1.146,1.371,0.680,0.086,0.143,0.112,3.4561,3.4171,22.266,23.851,45.703,49.130,-1
8,195,0.589,1.513,0.662,0.495,1.369,0.661,0.094,0.144,0.114,3.5125,3.3940,18.750,24.502,47.500,49.398,-1
8,-1,0.589,1.513,0.662,0.495,1.369,0.661,0.094,0.144,0.114,-1,-1,-1,-1,-1,-1,0.48
9,0,0.589,1.513,0.662,0.495,1.369,0.661,0.094,0.144,0.114,3.4578,3.4578,20.312,20.312,48.828,48.828,-1
9,100,1.564,1.512,0.645,1.153,1.368,0.644,0.411,0.144,0.114,3.2869,3.2859,30.859,25.828,53.125,51.822,-1
9,195,0.586,1.511,0.629,0.492,1.365,0.628,0.095,0.146,0.116,3.3069,3.2700,32.500,26.482,53.750,52.158,-1
9,-1,0.586,1.511,0.629,0.492,1.365,0.628,0.095,0.146,0.116,-1,-1,-1,-1,-1,-1,0.45
10,0,0.586,1.511,0.629,0.492,1.365,0.628,0.095,0.146,0.116,3.2603,3.2603,23.438,23.438,50.781,50.781,-1
10,100,1.497,1.511,0.614,1.398,1.365,0.614,0.099,0.146,0.116,3.2156,3.1815,29.297,28.245,53.516,53.709,-1
10,195,0.586,1.510,0.600,0.492,1.365,0.600,0.094,0.144,0.114,3.3101,3.1631,27.500,28.702,51.250,54.298,-1
10,-1,0.586,1.510,0.600,0.492,1.365,0.600,0.094,0.144,0.114,-1,-1,-1,-1,-1,-1,0.68
11,0,0.586,1.510,0.600,0.492,1.365,0.600,0.094,0.144,0.114,2.9503,2.9503,30.469,30.469,62.500,62.500,-1
11,100,1.623,1.509,0.588,1.202,1.364,0.587,0.420,0.146,0.115,3.2007,3.0899,27.344,29.676,55.078,55.658,-1
11,195,0.603,1.509,0.576,0.501,1.363,0.575,0.102,0.145,0.115,3.4484,3.0734,17.500,29.900,50.000,55.892,-1
11,-1,0.603,1.509,0.576,0.501,1.363,0.575,0.102,0.145,0.115,-1,-1,-1,-1,-1,-1,0.32
12,0,0.603,1.509,0.576,0.501,1.363,0.575,0.102,0.145,0.115,3.0126,3.0126,30.859,30.859,60.156,60.156,-1
12,100,1.480,1.508,0.564,1.395,1.364,0.564,0.085,0.144,0.113,2.9029,2.9941,33.203,31.703,60.938,58.029,-1
12,195,0.594,1.508,0.554,0.494,1.363,0.554,0.100,0.145,0.114,2.9900,2.9857,26.250,31.920,53.750,58.088,-1
12,-1,0.594,1.508,0.554,0.494,1.363,0.554,0.100,0.145,0.114,-1,-1,-1,-1,-1,-1,0.53
13,0,0.594,1.508,0.554,0.494,1.363,0.554,0.100,0.145,0.114,2.9247,2.9247,31.250,31.250,58.984,58.984,-1
13,100,1.485,1.507,0.544,1.390,1.363,0.544,0.094,0.144,0.114,3.0992,2.9137,28.125,33.292,58.203,59.506,-1
13,195,0.585,1.506,0.534,0.489,1.364,0.534,0.096,0.143,0.112,3.1202,2.9072,27.500,33.330,51.250,59.638,-1
13,-1,0.585,1.506,0.534,0.489,1.364,0.534,0.096,0.143,0.112,-1,-1,-1,-1,-1,-1,0.81
14,0,0.585,1.506,0.534,0.489,1.364,0.534,0.096,0.143,0.112,2.7443,2.7443,37.891,37.891,60.547,60.547,-1
14,100,1.490,1.506,0.525,1.398,1.363,0.525,0.092,0.144,0.113,2.9834,2.8272,28.125,34.595,55.859,61.170,-1
14,195,0.589,1.506,0.517,0.494,1.362,0.517,0.095,0.144,0.113,2.8965,2.8378,32.500,34.352,60.000,60.876,-1
14,-1,0.589,1.506,0.517,0.494,1.362,0.517,0.095,0.144,0.113,-1,-1,-1,-1,-1,-1,0.5
15,0,0.589,1.506,0.517,0.494,1.362,0.517,0.095,0.144,0.113,2.8656,2.8656,31.250,31.250,60.156,60.156,-1
15,100,1.553,1.506,0.509,1.147,1.361,0.509,0.406,0.145,0.114,2.6956,2.7775,34.766,35.531,63.672,62.121,-1
15,195,0.589,1.505,0.502,0.488,1.361,0.501,0.101,0.144,0.114,2.9906,2.7630,30.000,35.976,57.500,62.378,-1
15,-1,0.589,1.505,0.502,0.488,1.361,0.501,0.101,0.144,0.114,-1,-1,-1,-1,-1,-1,0.31
16,0,0.589,1.505,0.502,0.488,1.361,0.501,0.101,0.144,0.114,2.7307,2.7307,37.500,37.500,61.328,61.328,-1
16,100,1.492,1.505,0.494,1.397,1.360,0.494,0.095,0.145,0.114,2.9633,2.7089,28.125,37.175,56.250,63.537,-1
16,195,0.595,1.505,0.488,0.496,1.360,0.487,0.099,0.145,0.114,2.9513,2.7069,37.500,37.046,56.250,63.252,-1
16,-1,0.595,1.505,0.488,0.496,1.360,0.487,0.099,0.145,0.114,-1,-1,-1,-1,-1,-1,0.63
17,0,0.595,1.505,0.488,0.496,1.360,0.487,0.099,0.145,0.114,2.7121,2.7121,35.547,35.547,63.672,63.672,-1
17,100,1.494,1.504,0.481,1.396,1.361,0.480,0.098,0.144,0.113,2.6958,2.6283,33.984,38.513,64.844,64.871,-1
17,195,0.589,1.504,0.475,0.489,1.360,0.474,0.099,0.144,0.113,2.3741,2.6374,47.500,38.614,68.750,64.528,-1
17,-1,0.589,1.504,0.475,0.489,1.360,0.474,0.099,0.144,0.113,-1,-1,-1,-1,-1,-1,0.29
18,0,0.589,1.504,0.475,0.489,1.360,0.474,0.099,0.144,0.113,2.3366,2.3366,42.969,42.969,70.312,70.312,-1
18,100,1.492,1.504,0.469,1.395,1.360,0.468,0.097,0.144,0.113,2.5529,2.5829,38.672,39.523,64.453,65.505,-1
18,195,0.899,1.504,0.463,0.493,1.360,0.462,0.406,0.144,0.113,2.8965,2.5910,33.750,39.290,60.000,65.442,-1
18,-1,0.899,1.504,0.463,0.493,1.360,0.462,0.406,0.144,0.113,-1,-1,-1,-1,-1,-1,0.26
19,0,0.899,1.504,0.463,0.493,1.360,0.462,0.406,0.144,0.113,2.4018,2.4018,44.531,44.531,70.312,70.312,-1
19,100,1.533,1.503,0.457,1.130,1.359,0.457,0.404,0.144,0.113,2.6364,2.5220,40.234,40.463,66.016,66.936,-1
19,195,0.500,1.503,0.452,0.400,1.359,0.451,0.100,0.144,0.113,2.4828,2.5317,46.250,40.356,66.250,66.742,-1
19,-1,0.500,1.503,0.452,0.400,1.359,0.451,0.100,0.144,0.113,-1,-1,-1,-1,-1,-1,0.56
20,0,0.500,1.503,0.452,0.400,1.359,0.451,0.100,0.144,0.113,2.5572,2.5572,37.891,37.891,66.797,66.797,-1
20,100,1.485,1.503,0.447,1.389,1.359,0.446,0.096,0.144,0.113,2.6136,2.4776,41.406,41.480,65.625,67.756,-1
20,195,0.589,1.503,0.442,0.491,1.359,0.441,0.098,0.143,0.112,2.5303,2.4766,43.750,41.610,61.250,67.874,-1
20,-1,0.589,1.503,0.442,0.491,1.359,0.441,0.098,0.143,0.112,-1,-1,-1,-1,-1,-1,0.77
21,0,0.589,1.503,0.442,0.491,1.359,0.441,0.098,0.143,0.112,2.5803,2.5803,38.281,38.281,64.844,64.844,-1
21,100,1.489,1.503,0.437,1.397,1.358,0.436,0.093,0.145,0.114,2.3414,2.4393,44.531,42.261,68.359,68.367,-1
21,195,0.815,1.503,0.432,0.407,1.357,0.432,0.408,0.145,0.115,2.4579,2.4421,47.500,42.268,70.000,68.178,-1
21,-1,0.815,1.503,0.432,0.407,1.357,0.432,0.408,0.145,0.115,-1,-1,-1,-1,-1,-1,0.68
22,0,0.815,1.503,0.432,0.407,1.357,0.432,0.408,0.145,0.115,2.2529,2.2529,45.312,45.312,71.875,71.875,-1
22,100,1.473,1.503,0.428,1.388,1.357,0.427,0.086,0.146,0.115,2.4104,2.3916,42.188,43.456,67.188,69.504,-1
22,195,0.587,1.503,0.423,0.499,1.356,0.423,0.088,0.146,0.115,2.3262,2.3922,38.750,43.520,67.500,69.534,-1
22,-1,0.587,1.503,0.423,0.499,1.356,0.423,0.088,0.146,0.115,-1,-1,-1,-1,-1,-1,0.64
23,0,0.587,1.503,0.423,0.499,1.356,0.423,0.088,0.146,0.115,2.5141,2.5141,41.016,41.016,64.453,64.453,-1
23,100,1.794,1.503,0.419,1.388,1.356,0.419,0.406,0.147,0.116,2.2645,2.3270,48.438,44.570,71.484,70.359,-1
23,195,0.594,1.502,0.415,0.495,1.356,0.415,0.099,0.146,0.115,2.3114,2.3335,37.500,44.456,71.250,70.256,-1
23,-1,0.594,1.502,0.415,0.495,1.356,0.415,0.099,0.146,0.115,-1,-1,-1,-1,-1,-1,0.64
