BEGIN-TRAINING
World-Size,2
Num-DLWorkers,10
Batch-Size,256
Epoch,itr,BT(s),avg:BT(s),std:BT(s),NT(s),avg:NT(s),std:NT(s),DT(s),avg:DT(s),std:DT(s),Loss,avg:Loss,Prec@1,avg:Prec@1,Prec@5,avg:Prec@5,val
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9254,6.9254,0.000,0.000,0.000,0.000,-1
0,100,1.389,1.391,0.111,1.266,1.232,0.091,0.123,0.159,0.098,4.6783,5.0677,6.641,3.566,19.141,12.457,-1
0,195,26.188,1.526,1.822,26.052,1.367,1.822,0.136,0.160,0.095,5.0291,4.9029,2.500,4.914,10.000,15.200,-1
0,-1,26.188,1.526,1.822,26.052,1.367,1.822,0.136,0.160,0.095,-1,-1,-1,-1,-1,-1,0.32
1,0,26.188,1.526,1.822,26.052,1.367,1.822,0.136,0.160,0.095,4.6449,4.6449,8.984,8.984,19.141,19.141,-1
1,100,1.428,1.484,1.495,1.308,1.321,1.494,0.119,0.163,0.097,4.5579,4.6039,5.859,7.592,20.312,21.446,-1
1,195,0.679,1.461,1.292,0.483,1.300,1.290,0.196,0.160,0.093,4.4251,4.5758,7.500,7.940,23.750,22.136,-1
1,-1,0.679,1.461,1.292,0.483,1.300,1.290,0.196,0.160,0.093,-1,-1,-1,-1,-1,-1,0.26
2,0,0.679,1.461,1.292,0.483,1.300,1.290,0.196,0.160,0.093,4.3603,4.3603,10.547,10.547,27.734,27.734,-1
2,100,1.433,1.449,1.159,1.272,1.287,1.157,0.161,0.162,0.093,4.4067,4.4412,9.766,9.035,28.906,25.267,-1
2,195,0.608,1.439,1.057,0.480,1.276,1.055,0.128,0.163,0.094,4.3125,4.4104,8.750,9.714,26.250,26.096,-1
2,-1,0.608,1.439,1.057,0.480,1.276,1.055,0.128,0.163,0.094,-1,-1,-1,-1,-1,-1,0.13
3,0,0.608,1.439,1.057,0.480,1.276,1.055,0.128,0.163,0.094,4.3045,4.3045,13.281,13.281,28.906,28.906,-1
3,100,1.373,1.435,0.980,1.265,1.269,0.979,0.107,0.166,0.097,4.3920,4.3137,9.766,10.883,27.344,28.098,-1
3,195,0.626,1.429,0.917,0.478,1.266,0.915,0.147,0.163,0.094,4.1522,4.2903,11.250,11.046,31.250,28.640,-1
3,-1,0.626,1.429,0.917,0.478,1.266,0.915,0.147,0.163,0.094,-1,-1,-1,-1,-1,-1,1.28
4,0,0.626,1.429,0.917,0.478,1.266,0.915,0.147,0.163,0.094,4.3323,4.3323,10.938,10.938,29.297,29.297,-1
4,100,1.390,1.426,0.866,1.264,1.263,0.864,0.125,0.163,0.094,4.2460,4.2012,8.984,12.519,26.562,30.689,-1
