BEGIN-TRAINING
World-Size,2
Num-DLWorkers,10
Batch-Size,256
Epoch,itr,BT(s),avg:BT(s),std:BT(s),NT(s),avg:NT(s),std:NT(s),DT(s),avg:DT(s),std:DT(s),Loss,avg:Loss,Prec@1,avg:Prec@1,Prec@5,avg:Prec@5,val
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9228,6.9228,0.000,0.000,0.000,0.000,-1
0,100,1.613,1.473,0.112,1.407,1.257,0.094,0.207,0.216,0.096,5.1089,5.6902,3.906,2.375,14.453,8.377,-1
0,195,29.026,1.626,2.022,28.842,1.421,2.023,0.184,0.205,0.086,4.8151,5.3445,5.000,3.388,16.250,11.356,-1
0,-1,29.026,1.626,2.022,28.842,1.421,2.023,0.184,0.205,0.086,-1,-1,-1,-1,-1,-1,0.08
1,0,29.026,1.626,2.022,28.842,1.421,2.023,0.184,0.205,0.086,4.8746,4.8746,5.078,5.078,14.844,14.844,-1
1,100,1.475,1.585,1.658,1.300,1.358,1.660,0.175,0.227,0.108,4.8264,4.8455,4.688,5.283,14.844,16.449,-1
1,195,0.684,1.559,1.432,0.496,1.338,1.433,0.188,0.221,0.101,5.0866,4.8192,1.250,5.438,10.000,16.730,-1
1,-1,0.684,1.559,1.432,0.496,1.338,1.433,0.188,0.221,0.101,-1,-1,-1,-1,-1,-1,0.3
2,0,0.684,1.559,1.432,0.496,1.338,1.433,0.188,0.221,0.101,4.7918,4.7918,6.250,6.250,15.234,15.234,-1
2,100,1.496,1.542,1.284,1.063,1.319,1.286,0.433,0.223,0.103,4.7532,4.7391,4.688,6.122,16.797,18.313,-1
2,195,0.659,1.531,1.171,0.485,1.305,1.172,0.174,0.226,0.105,4.6927,4.7243,6.250,6.396,25.000,18.740,-1
2,-1,0.659,1.531,1.171,0.485,1.305,1.172,0.174,0.226,0.105,-1,-1,-1,-1,-1,-1,0.14
3,0,0.659,1.531,1.171,0.485,1.305,1.172,0.174,0.226,0.105,4.7051,4.7051,8.984,8.984,19.922,19.922,-1
3,100,1.497,1.522,1.086,1.011,1.297,1.088,0.487,0.225,0.105,4.6557,4.6604,7.031,7.433,21.094,20.664,-1
3,195,0.659,1.517,1.015,0.487,1.285,1.018,0.172,0.232,0.110,4.7062,4.6551,5.000,7.438,18.750,20.638,-1
3,-1,0.659,1.517,1.015,0.487,1.285,1.018,0.172,0.232,0.110,-1,-1,-1,-1,-1,-1,0.44
4,0,0.659,1.517,1.015,0.487,1.285,1.018,0.172,0.232,0.110,4.6944,4.6944,6.641,6.641,22.656,22.656,-1
4,100,1.510,1.511,0.959,1.313,1.282,0.961,0.197,0.229,0.108,4.5290,4.6136,6.641,7.526,26.562,21.771,-1
4,195,0.657,1.506,0.909,0.488,1.282,0.911,0.169,0.224,0.105,4.5231,4.6022,10.000,7.864,22.500,22.032,-1
4,-1,0.657,1.506,0.909,0.488,1.282,0.911,0.169,0.224,0.105,-1,-1,-1,-1,-1,-1,0.11
5,0,0.657,1.506,0.909,0.488,1.282,0.911,0.169,0.224,0.105,4.8149,4.8149,4.688,4.688,16.797,16.797,-1
5,100,1.453,1.503,0.868,1.019,1.280,0.870,0.433,0.224,0.105,4.5303,4.5487,9.375,8.338,23.828,23.167,-1
5,195,0.620,1.500,0.831,0.448,1.279,0.832,0.172,0.221,0.103,4.6826,4.5352,2.500,8.610,21.250,23.472,-1
5,-1,0.620,1.500,0.831,0.448,1.279,0.832,0.172,0.221,0.103,-1,-1,-1,-1,-1,-1,0.28
6,0,0.620,1.500,0.831,0.448,1.279,0.832,0.172,0.221,0.103,4.4956,4.4956,5.859,5.859,23.438,23.438,-1
6,100,1.451,1.498,0.799,1.286,1.279,0.801,0.165,0.219,0.102,4.5324,4.4995,5.078,9.081,22.656,23.983,-1
6,195,0.701,1.495,0.770,0.533,1.277,0.771,0.168,0.218,0.102,4.2652,4.4882,12.500,9.282,32.500,24.262,-1
6,-1,0.701,1.495,0.770,0.533,1.277,0.771,0.168,0.218,0.102,-1,-1,-1,-1,-1,-1,0.4
7,0,0.701,1.495,0.770,0.533,1.277,0.771,0.168,0.218,0.102,4.4143,4.4143,12.500,12.500,29.297,29.297,-1
7,100,1.744,1.494,0.745,1.307,1.274,0.746,0.437,0.220,0.103,4.4392,4.4481,14.062,9.468,28.125,25.623,-1
7,195,0.664,1.493,0.722,0.493,1.271,0.723,0.171,0.222,0.105,4.2489,4.4395,8.750,9.644,28.750,25.890,-1
7,-1,0.664,1.493,0.722,0.493,1.271,0.723,0.171,0.222,0.105,-1,-1,-1,-1,-1,-1,0.15
8,0,0.664,1.493,0.722,0.493,1.271,0.723,0.171,0.222,0.105,4.3206,4.3206,9.375,9.375,25.781,25.781,-1
8,100,1.449,1.492,0.701,1.288,1.269,0.702,0.160,0.222,0.105,4.3772,4.3970,11.719,10.299,30.859,26.825,-1
8,195,0.675,1.490,0.682,0.505,1.266,0.683,0.170,0.224,0.106,4.3835,4.3904,10.000,10.434,25.000,27.096,-1
8,-1,0.675,1.490,0.682,0.505,1.266,0.683,0.170,0.224,0.106,-1,-1,-1,-1,-1,-1,0.38
9,0,0.675,1.490,0.682,0.505,1.266,0.683,0.170,0.224,0.106,4.3597,4.3597,11.719,11.719,30.078,30.078,-1
9,100,1.471,1.490,0.664,1.292,1.265,0.665,0.180,0.225,0.107,4.2954,4.3448,12.500,10.771,32.422,28.028,-1
9,195,0.633,1.488,0.648,0.492,1.266,0.649,0.141,0.222,0.105,4.4107,4.3480,12.500,10.862,30.000,28.150,-1
9,-1,0.633,1.488,0.648,0.492,1.266,0.649,0.141,0.222,0.105,-1,-1,-1,-1,-1,-1,0.07
10,0,0.633,1.488,0.648,0.492,1.266,0.649,0.141,0.222,0.105,4.3224,4.3224,8.594,8.594,25.781,25.781,-1
10,100,1.544,1.488,0.633,1.142,1.265,0.634,0.401,0.222,0.105,4.3677,4.3264,10.547,10.876,23.047,28.164,-1
10,195,0.714,1.487,0.618,0.545,1.265,0.619,0.169,0.221,0.104,4.3094,4.3184,7.500,11.212,26.250,28.658,-1
10,-1,0.714,1.487,0.618,0.545,1.265,0.619,0.169,0.221,0.104,-1,-1,-1,-1,-1,-1,0.79
11,0,0.714,1.487,0.618,0.545,1.265,0.619,0.169,0.221,0.104,4.3081,4.3081,9.766,9.766,28.906,28.906,-1
11,100,1.613,1.487,0.605,1.282,1.266,0.606,0.331,0.220,0.103,4.2706,4.2860,12.109,11.487,29.688,29.119,-1
11,195,0.738,1.486,0.592,0.541,1.264,0.593,0.197,0.222,0.104,4.4224,4.2766,5.000,11.574,22.500,29.360,-1
11,-1,0.738,1.486,0.592,0.541,1.264,0.593,0.197,0.222,0.104,-1,-1,-1,-1,-1,-1,0.26
12,0,0.738,1.486,0.592,0.541,1.264,0.593,0.197,0.222,0.104,4.3159,4.3159,12.109,12.109,26.953,26.953,-1
12,100,1.719,1.486,0.581,1.289,1.263,0.582,0.430,0.222,0.105,4.1651,4.2600,13.281,11.978,30.859,29.854,-1
12,195,0.615,1.485,0.570,0.491,1.262,0.571,0.124,0.223,0.106,4.0702,4.2466,16.250,12.040,35.000,30.202,-1
12,-1,0.615,1.485,0.570,0.491,1.262,0.571,0.124,0.223,0.106,-1,-1,-1,-1,-1,-1,0.24
13,0,0.615,1.485,0.570,0.491,1.262,0.571,0.124,0.223,0.106,4.2607,4.2607,8.984,8.984,26.172,26.172,-1
13,100,1.166,1.485,0.560,0.999,1.262,0.561,0.168,0.223,0.105,4.4442,4.2161,8.203,12.577,24.219,30.972,-1
13,195,0.660,1.484,0.550,0.493,1.262,0.551,0.167,0.222,0.105,4.3612,4.2145,10.000,12.620,27.500,31.068,-1
